id,earthName,dateOfDiscovery,discovererName,prec_noix,prec_chocolat,prec_noisettes,prec_raisins,prec_fruits_confits,prec_lait,ph_eau,pop,prop_grand_meres,freq_boulangeries,nb_visites_hebdo,prix,nb_bras,nb_doigts_main,nb_dents,taux_oxygene_atm,dist_lune_km,dist_soleil_km,dist_centre_galaxie_ly,niveau_techno,nb_guerres_mondiales,methode_cuisson,nb_cookies_vendus,cookie_quality
25101,Earth41480,2058-12-06,Floyd Howard,non,non,non,non,oui,oui,7,9848993000,0.1799999999999999,7,6,341.0,6.0,7.0,,0.2099999999999999,,197700000,10100,moyen-age,31.0,Soleil,15600000000.0,yuk
120860,Earth199137,2137-03-18,Grace Torres,oui,oui,oui,oui,oui,non,9,6756574000,0.1899999999999999,9,9,420.0,4.0,9.0,44.0,0.1799999999999999,430100.0,169100000,16100,apocalyptique,27.0,Fer à repasser,14280000000.0,yum
128633,Earth212192,2159-11-20,Vicky Figueroa,oui,oui,non,non,non,non,7,6844275000,0.2299999999999999,7,5,264.0,6.0,7.0,,0.1799999999999999,531200.0,205200000,18400,numérique,24.0,Micro-Ondes,13680000000.0,yuk
173087,Earth285866,2195-09-01,May Hull,non,non,oui,non,non,oui,8,5936420000,0.2099999999999999,8,5,274.0,4.0,7.0,26.0,0.1699999999999999,448000.0,215400000,16700,préhistoire,20.0,Feu de Bois,15610000000.0,yum
50605,Earth83432,2146-04-25,James Yu,oui,oui,non,oui,oui,non,8,7091348000,0.1799999999999999,6,5,350.0,4.0,7.0,32.0,0.1999999999999999,,177800000,11400,industriel,16.0,Poele,13480000000.0,yum
215266,Earth355352,2142-12-17,Gilbert Beaudette,,oui,non,non,oui,oui,8,7191991000,0.1899999999999999,8,6,224.0,4.0,5.0,30.0,0.1799999999999999,532900.0,179100000,13100,future,17.0,Micro-Ondes,12240000000.0,yum
40643,Earth66997,2039-09-29,Cletus Franklin,oui,oui,non,,oui,oui,8,7320478000,0.2099999999999999,6,7,357.0,4.0,7.0,,0.2299999999999999,476500.0,170700000,12400,moyen-age,16.0,Soleil,12390000000.0,yum
55222,Earth91074,2125-07-05,Laura Simpson,non,oui,non,non,non,non,8,7260904000,0.1799999999999999,7,6,257.0,4.0,9.0,30.0,0.1699999999999999,457500.0,214600000,11500,future,28.0,,13360000000.0,yum
32561,Earth53753,2107-04-18,John Reyes,non,oui,non,oui,non,non,9,7058272000,0.2299999999999999,6,5,267.0,2.0,8.0,28.0,0.2099999999999999,472900.0,193200000,15300,numérique,23.0,Gaz,15450000000.0,yuk
218801,Earth361207,2176-03-25,Ralph Carpenter,non,oui,oui,non,non,oui,7,4933375000,0.1999999999999999,5,3,298.0,4.0,8.0,32.0,0.1899999999999999,443500.0,181700000,17000,préhistoire,23.0,Feu de Bois,15330000000.0,yum
203181,Earth335466,2192-09-02,Mari Daugherty,oui,non,non,,non,non,8,7523337000,0.1799999999999999,5,6,243.0,4.0,8.0,24.0,0.1899999999999999,452900.0,201700000,14500,préhistoire,24.0,Magie,13590000000.0,yum
206113,Earth340349,2047-01-20,Jim Patterson,oui,oui,non,non,oui,oui,6,6192924000,0.1899999999999999,7,3,155.0,4.0,6.0,28.0,0.1799999999999999,543600.0,127000000,10800,future,27.0,Quantique,13680000000.0,yum
106084,Earth174812,2086-03-30,Maria Sturgeon,non,oui,non,non,oui,non,10,8570885000,0.1799999999999999,8,6,376.0,4.0,8.0,32.0,0.2299999999999999,362800.0,185100000,20400,numérique,25.0,Micro-Ondes,12650000000.0,yum
55847,Earth92101,2080-12-25,Christopher Thompson,non,oui,oui,non,oui,non,9,6894786000,0.2099999999999999,4,6,269.0,4.0,,30.0,0.2199999999999999,471400.0,180700000,13600,industriel,18.0,Poele,9680000000.0,yum
252959,Earth417546,2098-08-16,Ebony Davis,non,non,oui,oui,non,non,8,7127445000,0.2199999999999999,6,7,215.0,4.0,8.0,32.0,0.1899999999999999,478300.0,236300000,17800,renaissance,16.0,Four,13410000000.0,yum
248428,Earth409981,2118-05-01,Mary Stanley,non,non,oui,non,oui,non,7,3727213000,0.2099999999999999,7,7,251.0,4.0,8.0,26.0,0.2199999999999999,558600.0,200900000,22000,apocalyptique,20.0,Quantique,18560000000.0,yum
4299,Earth7203,2181-07-24,Jamie Johnson,oui,oui,non,oui,oui,non,8,6707551000,0.2199999999999999,5,6,324.0,6.0,7.0,28.0,0.1499999999999999,465900.0,185500000,10000,apocalyptique,18.0,Fer à repasser,17010000000.0,yuk
1157,Earth1964,2079-08-20,William Guajardo,non,non,oui,,non,non,7,6238260000,0.2099999999999999,8,5,325.0,4.0,8.0,26.0,0.1999999999999999,355900.0,206600000,16400,apocalyptique,20.0,Quantique,17580000000.0,yuk
174424,Earth288016,2070-06-11,Cristina Eller,oui,non,non,oui,non,oui,6,6355064000,0.1899999999999999,8,5,279.0,4.0,9.0,28.0,0.1899999999999999,421800.0,175100000,15600,moyen-age,22.0,Magie,13060000000.0,yum
99387,Earth163724,2046-05-02,Jean Ben,non,oui,non,non,oui,non,10,6649094000,0.1599999999999999,5,4,222.0,2.0,7.0,28.0,0.1899999999999999,489900.0,169000000,17500,industriel,14.0,Poele,11030000000.0,yum
101778,Earth167681,2140-04-27,Cora Lauritzen,oui,non,oui,,oui,non,8,5783931000,0.1899999999999999,9,6,273.0,4.0,7.0,34.0,0.1499999999999999,417900.0,183100000,18200,apocalyptique,20.0,Fer à repasser,13790000000.0,yum
120996,Earth199381,2166-10-23,Carl Timlin,oui,,non,non,oui,oui,8,3948178000,0.1999999999999999,7,7,310.0,4.0,8.0,32.0,0.2099999999999999,445200.0,157900000,16100,préhistoire,14.0,Magie,9360000000.0,yum
147735,Earth243940,2198-03-17,Ida Hastings,,oui,oui,non,oui,non,9,7083068000,0.2099999999999999,8,6,322.0,4.0,6.0,38.0,0.1999999999999999,431500.0,164700000,15800,moyen-age,24.0,Soleil,7730000000.0,yuk
247657,Earth408723,2152-07-01,Corie Perreault,non,non,oui,non,non,oui,4,7262880000,0.2099999999999999,6,2,309.0,4.0,7.0,28.0,0.1799999999999999,372500.0,177000000,10900,renaissance,27.0,Four,13390000000.0,yum
131399,Earth216863,2047-06-02,Blanche Powell,non,oui,oui,non,non,oui,9,6680123000,0.2199999999999999,7,6,244.0,4.0,6.0,24.0,0.1599999999999999,454600.0,204800000,16200,renaissance,25.0,Four,18960000000.0,yuk
170980,Earth282439,2157-03-17,Manuel Hoyt,oui,oui,oui,oui,oui,oui,8,6387040000,0.1799999999999999,6,5,267.0,4.0,6.0,32.0,0.1999999999999999,571900.0,209800000,13000,future,16.0,Quantique,16670000000.0,yum
28708,Earth47407,2042-08-09,Alva Lopez,oui,oui,oui,oui,non,oui,8,5200753000,0.2399999999999999,4,4,359.0,4.0,5.0,26.0,0.2299999999999999,462400.0,194500000,13500,future,24.0,Quantique,17110000000.0,yuk
181042,Earth298825,2046-01-13,Michael Beard,non,oui,non,non,oui,non,8,5957612000,0.2199999999999999,6,6,308.0,4.0,6.0,24.0,0.1799999999999999,,194300000,19500,industriel,28.0,Poele,17050000000.0,yum
51223,Earth84440,2192-02-04,Delores Hopkins,non,non,oui,non,oui,non,9,6515228000,0.1999999999999999,8,5,305.0,4.0,7.0,34.0,0.1699999999999999,390800.0,200400000,14000,industriel,18.0,Poele,12940000000.0,yum
93114,Earth153419,2195-07-28,Linda Smith,non,oui,non,oui,oui,non,7,4293648000,0.1899999999999999,10,8,334.0,4.0,8.0,24.0,0.1599999999999999,485300.0,182400000,16300,future,21.0,Micro-Ondes,11950000000.0,yum
144905,Earth239236,2092-06-22,Nancy Munoz,non,oui,oui,non,non,oui,8,8193303000,0.2199999999999999,6,6,320.0,,7.0,28.0,0.1999999999999999,535700.0,191100000,17900,moyen-age,19.0,Magie,11750000000.0,yuk
178148,Earth294190,2176-12-20,John Martel,,non,oui,,non,non,8,5356589000,0.1999999999999999,7,4,283.0,2.0,5.0,28.0,0.1999999999999999,392500.0,206300000,10700,moyen-age,21.0,Soleil,15290000000.0,yum
156630,Earth258680,2174-04-02,Luz Stroud,oui,oui,non,oui,,oui,7,4842118000,0.1799999999999999,6,5,229.0,4.0,7.0,36.0,0.1899999999999999,508100.0,192700000,12500,future,10.0,Quantique,7720000000.0,yuk
163377,Earth269834,2053-07-14,Benjamin Mcdaniel,oui,oui,oui,,non,oui,9,5114939000,0.2299999999999999,7,5,354.0,4.0,8.0,28.0,0.1799999999999999,571600.0,188200000,16500,moyen-age,15.0,Magie,13310000000.0,yuk
233560,Earth385530,2141-10-30,Sergio Singer,oui,oui,oui,non,oui,oui,8,5141810000,0.1699999999999999,8,6,251.0,4.0,6.0,30.0,0.1999999999999999,527000.0,170100000,15400,future,18.0,Micro-Ondes,14130000000.0,yum
19554,Earth32420,2054-05-18,Melanie Nolder,non,oui,oui,oui,non,oui,10,7145106000,0.1599999999999999,7,6,290.0,4.0,7.0,26.0,0.1799999999999999,437200.0,228600000,14000,industriel,28.0,Poele,21820000000.0,yuk
